model,source,rho,seed,n_gates,empirical_shift,bound_total,sound,note
vgg16,torchvision,0.1,1,0,0.0,0.0,True,"clean model, n_gates=0; no calibration object to perturb → ACPC bound is vacuously sound (0 ≤ 0)"
vgg16,torchvision,0.2,0,0,0.0,0.0,True,"clean model, n_gates=0; no calibration object to perturb → ACPC bound is vacuously sound (0 ≤ 0)"
vgg16,torchvision,0.2,1,0,0.0,0.0,True,"clean model, n_gates=0; no calibration object to perturb → ACPC bound is vacuously sound (0 ≤ 0)"
bert_base,transformers,0.0,0,0,0.0,0.0,True,"clean model, n_gates=0; no calibration object to perturb → ACPC bound is vacuously sound (0 ≤ 0)"
bert_base,transformers,0.0,1,0,0.0,0.0,True,"clean model, n_gates=0; no calibration object to perturb → ACPC bound is vacuously sound (0 ≤ 0)"
bert_base,transformers,0.05,0,0,0.0,0.0,True,"clean model, n_gates=0; no calibration object to perturb → ACPC bound is vacuously sound (0 ≤ 0)"
bert_base,transformers,0.05,1,0,0.0,0.0,True,"clean model, n_gates=0; no calibration object to perturb → ACPC bound is vacuously sound (0 ≤ 0)"
bert_base,transformers,0.1,0,0,0.0,0.0,True,"clean model, n_gates=0; no calibration object to perturb → ACPC bound is vacuously sound (0 ≤ 0)"
bert_base,transformers,0.1,1,0,0.0,0.0,True,"clean model, n_gates=0; no calibration object to perturb → ACPC bound is vacuously sound (0 ≤ 0)"
bert_base,transformers,0.2,0,0,0.0,0.0,True,"clean model, n_gates=0; no calibration object to perturb → ACPC bound is vacuously sound (0 ≤ 0)"
bert_base,transformers,0.2,1,0,0.0,0.0,True,"clean model, n_gates=0; no calibration object to perturb → ACPC bound is vacuously sound (0 ≤ 0)"
distilbert,transformers,0.0,0,0,0.0,0.0,True,"clean model, n_gates=0; no calibration object to perturb → ACPC bound is vacuously sound (0 ≤ 0)"
distilbert,transformers,0.0,1,0,0.0,0.0,True,"clean model, n_gates=0; no calibration object to perturb → ACPC bound is vacuously sound (0 ≤ 0)"
distilbert,transformers,0.05,0,0,0.0,0.0,True,"clean model, n_gates=0; no calibration object to perturb → ACPC bound is vacuously sound (0 ≤ 0)"
distilbert,transformers,0.05,1,0,0.0,0.0,True,"clean model, n_gates=0; no calibration object to perturb → ACPC bound is vacuously sound (0 ≤ 0)"
distilbert,transformers,0.1,0,0,0.0,0.0,True,"clean model, n_gates=0; no calibration object to perturb → ACPC bound is vacuously sound (0 ≤ 0)"
distilbert,transformers,0.1,1,0,0.0,0.0,True,"clean model, n_gates=0; no calibration object to perturb → ACPC bound is vacuously sound (0 ≤ 0)"
distilbert,transformers,0.2,0,0,0.0,0.0,True,"clean model, n_gates=0; no calibration object to perturb → ACPC bound is vacuously sound (0 ≤ 0)"
distilbert,transformers,0.2,1,0,0.0,0.0,True,"clean model, n_gates=0; no calibration object to perturb → ACPC bound is vacuously sound (0 ≤ 0)"
gpt2,transformers,0.0,0,0,0.0,0.0,True,"clean model, n_gates=0; no calibration object to perturb → ACPC bound is vacuously sound (0 ≤ 0)"
gpt2,transformers,0.0,1,0,0.0,0.0,True,"clean model, n_gates=0; no calibration object to perturb → ACPC bound is vacuously sound (0 ≤ 0)"
gpt2,transformers,0.05,0,0,0.0,0.0,True,"clean model, n_gates=0; no calibration object to perturb → ACPC bound is vacuously sound (0 ≤ 0)"
gpt2,transformers,0.05,1,0,0.0,0.0,True,"clean model, n_gates=0; no calibration object to perturb → ACPC bound is vacuously sound (0 ≤ 0)"
gpt2,transformers,0.1,0,0,0.0,0.0,True,"clean model, n_gates=0; no calibration object to perturb → ACPC bound is vacuously sound (0 ≤ 0)"
gpt2,transformers,0.1,1,0,0.0,0.0,True,"clean model, n_gates=0; no calibration object to perturb → ACPC bound is vacuously sound (0 ≤ 0)"
gpt2,transformers,0.2,0,0,0.0,0.0,True,"clean model, n_gates=0; no calibration object to perturb → ACPC bound is vacuously sound (0 ≤ 0)"
gpt2,transformers,0.2,1,0,0.0,0.0,True,"clean model, n_gates=0; no calibration object to perturb → ACPC bound is vacuously sound (0 ≤ 0)"
