llm,rho,seed,delta_x,epsilon,epsilon_baseline,empirical_shift,K_i,H_i,L_phi,eps_phi_max,payload_inf_clean,acpc_bound_chain,sound_chain,verify_sec,verdict,chain_status,status
yi-6b,0.2,1,0.23833333333333334,567758278987.4542,567758278987.4542,0.0,0,0,1.0,15734.968788146973,16344.08243424818,0.0,True,381.94229555130005,add-DGP-CERTIFIED-POSITIVE,rescue_aware_K_H_zero,ok
yi-6b,0.3,0,0.5362499999999999,567758278987.4542,567758278987.4542,0.0,0,0,1.0,15734.968788146973,16344.08243424818,0.0,True,383.52446699142456,add-DGP-CERTIFIED-POSITIVE,rescue_aware_K_H_zero,ok
yi-6b,0.3,1,0.5362499999999999,567758278987.4542,567758278987.4542,0.0,0,0,1.0,15734.968788146973,16344.08243424818,0.0,True,379.50002121925354,add-DGP-CERTIFIED-POSITIVE,rescue_aware_K_H_zero,ok
deepseek-7b,0.0,42,0.0,47309054609.192245,47309054609.192245,0.0,0,0,1.0,1283.2768249511719,1323.421843122691,0.0,True,451.08793210983276,add-DGP-CERTIFIED-POSITIVE,rescue_aware_K_H_zero,ok
deepseek-7b,0.05,0,0.03972222222222222,47309054609.192245,47309054609.192245,0.0,0,0,1.0,1283.2768249511719,1323.421843122691,0.0,True,428.93436789512634,add-DGP-CERTIFIED-POSITIVE,rescue_aware_K_H_zero,ok
deepseek-7b,0.05,1,0.03972222222222222,47309054609.192245,47309054609.192245,0.0,0,0,1.0,1283.2768249511719,1323.421843122691,0.0,True,429.22349286079407,add-DGP-CERTIFIED-POSITIVE,rescue_aware_K_H_zero,ok
deepseek-7b,0.1,0,0.089375,47309054609.192245,47309054609.192245,0.0,0,0,1.0,1283.2768249511719,1323.421843122691,0.0,True,431.048255443573,add-DGP-CERTIFIED-POSITIVE,rescue_aware_K_H_zero,ok
deepseek-7b,0.1,1,0.089375,47309054609.192245,47309054609.192245,0.0,0,0,1.0,1283.2768249511719,1323.421843122691,0.0,True,431.3412628173828,add-DGP-CERTIFIED-POSITIVE,rescue_aware_K_H_zero,ok
deepseek-7b,0.2,0,0.23833333333333334,47309054609.192245,47309054609.192245,0.0,0,0,1.0,1283.2768249511719,1323.421843122691,0.0,True,429.3651707172394,add-DGP-CERTIFIED-POSITIVE,rescue_aware_K_H_zero,ok
deepseek-7b,0.2,1,0.23833333333333334,47309054609.192245,47309054609.192245,0.0,0,0,1.0,1283.2768249511719,1323.421843122691,0.0,True,425.0532898902893,add-DGP-CERTIFIED-POSITIVE,rescue_aware_K_H_zero,ok
deepseek-7b,0.3,0,0.5362499999999999,47309054609.192245,47309054609.192245,0.0,0,0,1.0,1283.2768249511719,1323.421843122691,0.0,True,427.26174235343933,add-DGP-CERTIFIED-POSITIVE,rescue_aware_K_H_zero,ok
deepseek-7b,0.3,1,0.5362499999999999,47309054609.192245,47309054609.192245,0.0,0,0,1.0,1283.2768249511719,1323.421843122691,0.0,True,428.10238671302795,add-DGP-CERTIFIED-POSITIVE,rescue_aware_K_H_zero,ok
mistral-7b,0.0,42,0.0,345552677709.9668,345552677709.9668,0.0,0,0,1.0,27003.468688964844,28056.227476667613,0.0,True,484.4821197986603,add-DGP-CERTIFIED-POSITIVE,rescue_aware_K_H_zero,ok
mistral-7b,0.05,0,0.03972222222222222,345552677709.9668,345552677709.9668,0.0,0,0,1.0,27003.468688964844,28056.227476667613,0.0,True,484.22030234336853,add-DGP-CERTIFIED-POSITIVE,rescue_aware_K_H_zero,ok
mistral-7b,0.05,1,0.03972222222222222,345552677709.9668,345552677709.9668,0.0,0,0,1.0,27003.468688964844,28056.227476667613,0.0,True,484.6251187324524,add-DGP-CERTIFIED-POSITIVE,rescue_aware_K_H_zero,ok
mistral-7b,0.1,0,0.089375,345552677709.9668,345552677709.9668,0.0,0,0,1.0,27003.468688964844,28056.227476667613,0.0,True,484.70987462997437,add-DGP-CERTIFIED-POSITIVE,rescue_aware_K_H_zero,ok
mistral-7b,0.1,1,0.089375,345552677709.9668,345552677709.9668,0.0,0,0,1.0,27003.468688964844,28056.227476667613,0.0,True,484.96114563941956,add-DGP-CERTIFIED-POSITIVE,rescue_aware_K_H_zero,ok
mistral-7b,0.2,0,0.23833333333333334,345552677709.9668,345552677709.9668,0.0,0,0,1.0,27003.468688964844,28056.227476667613,0.0,True,486.09011054039,add-DGP-CERTIFIED-POSITIVE,rescue_aware_K_H_zero,ok
mistral-7b,0.2,1,0.23833333333333334,345552677709.9668,345552677709.9668,0.0,0,0,1.0,27003.468688964844,28056.227476667613,0.0,True,485.5957968235016,add-DGP-CERTIFIED-POSITIVE,rescue_aware_K_H_zero,ok
mistral-7b,0.3,0,0.5362499999999999,345552677709.9668,345552677709.9668,0.0,0,0,1.0,27003.468688964844,28056.227476667613,0.0,True,483.15913701057434,add-DGP-CERTIFIED-POSITIVE,rescue_aware_K_H_zero,ok
mistral-7b,0.3,1,0.5362499999999999,345552677709.9668,345552677709.9668,0.0,0,0,1.0,27003.468688964844,28056.227476667613,0.0,True,484.3668375015259,add-DGP-CERTIFIED-POSITIVE,rescue_aware_K_H_zero,ok
qwen2-7b,0.0,42,0.0,3841426260290.1934,3841426260290.1934,0.0,0,0,1.0,16508.642674357343,17128.463254242502,0.0,True,403.3626358509064,add-DGP-CERTIFIED-POSITIVE,rescue_aware_K_H_zero,ok
qwen2-7b,0.05,0,0.03972222222222222,3841426260290.1934,3841426260290.1934,0.0,0,0,1.0,16508.642674357343,17128.463254242502,0.0,True,402.36197566986084,add-DGP-CERTIFIED-POSITIVE,rescue_aware_K_H_zero,ok
qwen2-7b,0.05,1,0.03972222222222222,3841426260290.1934,3841426260290.1934,0.0,0,0,1.0,16508.642674357343,17128.463254242502,0.0,True,398.8081123828888,add-DGP-CERTIFIED-POSITIVE,rescue_aware_K_H_zero,ok
qwen2-7b,0.1,0,0.089375,3841426260290.1934,3841426260290.1934,0.0,0,0,1.0,16508.642674357343,17128.463254242502,0.0,True,401.7358629703522,add-DGP-CERTIFIED-POSITIVE,rescue_aware_K_H_zero,ok
qwen2-7b,0.1,1,0.089375,3841426260290.1934,3841426260290.1934,0.0,0,0,1.0,16508.642674357343,17128.463254242502,0.0,True,405.2049276828766,add-DGP-CERTIFIED-POSITIVE,rescue_aware_K_H_zero,ok
qwen2-7b,0.2,0,0.23833333333333334,3841426260290.1934,3841426260290.1934,0.0,0,0,1.0,16508.642674357343,17128.463254242502,0.0,True,403.338987827301,add-DGP-CERTIFIED-POSITIVE,rescue_aware_K_H_zero,ok
qwen2-7b,0.2,1,0.23833333333333334,3841426260290.1934,3841426260290.1934,0.0,0,0,1.0,16508.642674357343,17128.463254242502,0.0,True,401.06151604652405,add-DGP-CERTIFIED-POSITIVE,rescue_aware_K_H_zero,ok
qwen2-7b,0.3,0,0.5362499999999999,3841426260290.1934,3841426260290.1934,0.0,0,0,1.0,16508.642674357343,17128.463254242502,0.0,True,404.1487593650818,add-DGP-CERTIFIED-POSITIVE,rescue_aware_K_H_zero,ok
qwen2-7b,0.3,1,0.5362499999999999,3841426260290.1934,3841426260290.1934,0.0,0,0,1.0,16508.642674357343,17128.463254242502,0.0,True,403.4195592403412,add-DGP-CERTIFIED-POSITIVE,rescue_aware_K_H_zero,ok
